foldername|placemark|reportid|reportdesc|county|reportdate|lng|lat
August 2002|August 2002|Report 4897|Family finds and hears compelling evidence near Leadville|Park County|2002-08-31|-106.171|39.3045
October 2002|October 2002|Report 6164|Hunter's elk calls ellicit vocal responses from multiple animals|El Paso County|2002-10-09|-105.0138|39.0621
June 2003|June 2003|Report 6538|Large tracks found in southwest Colorado mountains|Dolores County|2003-08-02|-107.9584|37.70835
February 1997|February 1997|Report 6755|Another large footprint in SW Colorado high country|Montezuma County|2003-08-30|-108.1292|37.4125
June 2004|June 2004|Report 9018|Campers driven off mountain by unseen intruders|Archuleta County|2004-06-01|-107.4667|37.38334
October circa 1978|October circa 1978|Report 12576|Elk hunters find series of tracks in Mt. Zirkel Wilderness|Routt County|1978-10-18|-106.7084|40.55415
October 2005|October 2005|Report 12802|Nighttime sighting by golf course worker at Arrowhead Golfcourse, aside Roxborough State Park, Rampart Range.|Douglas County|2005-10-07|-105.0787|39.4455
September 2005|September 2005|Report 12904|Notes from the Colorado BFRO Expedition|Lake County|2005-09-09|-106.1215|39.29325
October 2005|October 2005|Report 13699|Possible knocks heard near the Flat Tops Wilderness area of White River National Forest|Rio Blanco County|2005-10-17|-107.4381|40.00385
June 2006|June 2006|Report 14997|Possible approach to campers near Spring Creek Pass in the San Juan Mountains|Hinsdale County|2006-06-10|-107.1971|37.89225
August 2004|August 2004|Report 16038|Possible camp stalking at Taylor Reservoir outside Aspen|Gunnison County|2004-08-01|-106.7522|39.01577
November 2006|November 2006|Report 16648|Hunter reports possible vocalizations in the Danforth Hills near Meeker|Moffat County|2006-11-04|-107.8708|40.277
2004|2004|Report 16661|Possible tracks found by snowshoers near Steamboat Springs|Routt County|2004-01-15|-106.7682|40.4805
September 2005|September 2005|Report 19804|Hunter reports unusual roars In South San Juan Mountains|Conejos County|2005-09-20|-106.3325|37.3199
October 1987|October 1987|Report 20028|Hunter recalls unusual and persistent vocalizations at Carson Lake on the Grand Mesa|Mesa County|1987-10-15|-108.1098|38.9969
September 2001|September 2001|Report 23065|Bowhunters report unusual encounters in the South San Juan Mountains|Conejos County|2001-09-15|-106.541|37.2362
November 2005|November 2005|Report 23305|Hunter hears loud vocalization and is nearly trampled by a spooked Elk north of Burns|Routt County|2005-11-07|-106.6735|39.879
June 2008|June 2008|Report 24068|Possible vocalization frightens fisherman from campsite along Conejos River|Conejos County|2008-06-21|-106.4745|37.26505
September 2001|September 2001|Report 24194|Hiker describes possible near encounter on the Colorado Trail near Mt. Massive|Lake County|2001-09-04|-106.4213|39.15735
October 2008|October 2008|Report 25511|Couple finds large human-shaped footprints while elk hunting near Bear Creek|La Plata County|2008-10-12|-107.501|37.33815
September 1997|September 1997|Report 25552|Multiple Tracks Found at Florissant Fossil Beds National Monument|Teller County|1997-09-20|-105.275|38.91
June 2008|June 2008|Report 32905|Hiker has a possible daytime sighting near Crater Lake|San Juan County|2008-06-30|-107.7015|37.70338
October 2011|October 2011|Report 34078|Father and son witness fast-moving biped crossing road east of Fort Garland|Costilla County|2011-10-14|-105.2869|37.56055
August 2013|August 2013|Report 41935|Couple observe a large dark figure as it watches fishermen at Skaguay Reservoir near Victor|Teller County|2013-08-05|-105.047|38.68775
February 2014|February 2014|Report 44401|YMCA camp guest has a possible nighttime sighting and hears strange vocalizations in Estes Park|Larimer County|2014-02-09|-105.5728|40.33838
October 2014|October 2014|Report 46795|Hunter experiences night-time rock-throwing and possible vocalizations while camping near Hartsel|Park County|2014-10-12|-105.9111|38.77741
October 2014|October 2014|Report 46805|Hikers are startled by unusual sounds in Staunton State Park|Jefferson County|2014-10-11|-105.4147|39.52701
November 2004|November 2004|Report 13585|Possible activity near Salmon River State Forest|Middlesex County|2006-01-17|-72.46315|41.51105
November 1987|November 1987|Report 18333|Possible vocalizations near Bakersville|Litchfield County|1987-11-01|-73.00099|41.86425
August 2010|August 2010|Report 28720|Traveler observes a tall biped in a cornfield north of Bethany Beach|Sussex County|2010-08-16|-75.3793|38.88665
November 2012|November 2012|Report 37386|Couple hear possible screams and knocks at their home near Redden State Park|Sussex County|2012-11-13|-75.36536|38.71
February 1998, 1999|February 1998, 1999|Report 39121|Recollection of a possible night time road crossing near Angola|Sussex County|1999-02-15|-75.18375|38.676
August 1981|August 1981|Report 430|Brothers hear howl while trailblazing|Levy County|1981-08-15|-82.75685|29.10855
July 1983|July 1983|Report 595|Father and son were out scouting for deer when they spot large eyes 8 foot off the gound, also hear loud scream.|Citrus County|1983-07-16|-82.42065|28.76465
October 2000|October 2000|Report 598|Vocalizations and Footsteps heard|Marion County|2000-10-28|-82.03495|29.01175
October 1998 &amp; 1999|October 1998 &amp; 1999|Report 747|1. loud vocalization sounds woke sleeping couple. 2. family dog found injured|Volusia County|1999-10-15|-80.933|28.9935
October 1981|October 1981|Report 1079|Foot steps heard in wood line. Weeks later more sounds heard|Seminole County|1981-10-15|-81.31985|28.662
February 1992|February 1992|Report 1283|Heard and then chased by creature|Monroe County|1992-02-15|-81.07385|25.782
October 1996|October 1996|Report 1480|3am observation in Alexander Springs  (Ocala Nat. Forest) of tall upright animal.  Coolers ransacked|Lake County|1996-10-15|-81.59005|29.08405
1979 or 80|1979 or 80|Report 1608|Noise, like wood being banged against tree. Tracks found|Polk County|1980-07-15|-81.8642|28.021
March 1971-72|March 1971-72|Report 1719|Possible collision with vehicle outside Homestead|Dade County|1972-03-15|-80.5158|25.4817
1994|1994|Report 1831|Foot steps heard while walking on trail at night|Broward County|1994-09-15|-80.17845|26.28585
June 2001|June 2001|Report 2848|Large  humanoid figure seen at night near beach|Volusia County|2004-11-07|-80.86715|28.98195
March 2001|March 2001|Report 2915|Campers hear unfamiliar vocalizations at night in the Everglades|Collier County|2001-03-01|-81.3142|25.84875
September 198586|September 198586|Report 3918|Hunter has unexplained, late night encounter while in small boat on Saddle Creek|Polk County|1985-09-01|-81.95285|27.9664
June 1980|June 1980|Report 5510|Man finds and casts large footprints after hearing of sighting|Lake County|1980-06-30|-81.63025|29.12915
1972(?)|1972(?)|Report 5519|Man recalls childhood encounter with sasquatch|Bay County|1972-05-15|-85.4427|30.32305
1963|1963|Report 6992|Large bipedal creature passes child's window near Ft.Myers|Lee County|2004-02-17|-81.8768|26.6685
January 2002|January 2002|Report 7109|Possible vocalizations heard by hunters and a biologist in Guana River WMA|St. Johns County|2006-10-07|-81.39806|30.0771
1978|1978|Report 7627|Man recalls childhood encounter near Hudson|Pasco County|2004-02-15|-82.1426|28.41655
1979|1979|Report 7692|Possible brush nest, tracks, smell, noticed by DeMolay teens visiting rural home Dunellon|Marion County|1979-10-01|-82.58765|29.1299
January 1998|January 1998|Report 7792|Woman has nighttime sighting from truck|Gulf County|1998-01-31|-85.0681|29.8398
1999|1999|Report 8561|Husband and wife hear early morning vocalizations near back of Myakka State Park|Sarasota County|2004-08-05|-82.20475|27.1788
November 1985|November 1985|Report 8935|Various occurences between Lake Kissimmee and Tiger Lake that may be BF-related|Osceola County|1985-11-15|-81.30249|27.84434
2004|2004|Report 9885|Possible vocalization east of Ft.Myers|Lee County|2004-12-04|-81.6143|26.6878
November 2002|November 2002|Report 10192|Possible vocalizations and tracks found by hunter on state land near Jay|Santa Rosa County|2006-06-11|-87.00008|31.00009
March 1994|March 1994|Report 11387|Screams Heard While Camping in the Ocala National Forest|Marion County|1994-03-01|-81.8945|29.0765
May 2005|May 2005|Report 12068|Possible intimidation behavior experienced while shining for alligators in Ormond Beach|Volusia County|2005-05-24|-81.08198|29.29063
August 2005|August 2005|Report 12351|Possible vocalizations heard by residents outside Elkton|St. Johns County|2005-08-19|-81.45421|29.7788
June 1990|June 1990|Report 12628|Possible sighting in woods separating farms west of Tarrytown|Sumter County|1990-06-01|-82.055|28.555
February 2005|February 2005|Report 12903|Stalking in swamp during Florida BFRO expedition|Lake County|2005-02-11|-81.4692|29.04865
September 1982/83|September 1982/83|Report 13048|Scream Heard in a Cypress Swamp outside Ft. Myers|Lee County|1982-09-01|-81.6455|26.529
October 2000|October 2000|Report 13313|Possible vocalizations heard by four-wheelers near Southport|Bay County|2000-10-14|-85.64108|30.28881
July 1980|July 1980|Report 13889|Man describes incidents in teen years in swamp area outside Naples|Collier County|2007-07-15|-81.71505|26.09729
August 2003|August 2003|Report 13961|Possible stalking of boar hunters at night outside Okeechobee|Okeechobee County|2003-08-15|-80.96515|27.35644
February 1980-1981|February 1980-1981|Report 13976|Possible tracks and sounds outside a home near Lady Lake|Lake County|1980-02-01|-81.898|28.917
March 2006|March 2006|Report 14100|Knocks heard in the Ocala National Forest|Lake County|2006-03-11|-81.649|28.966
March 2006|March 2006|Report 14181|Hunter hears vocalizations, relates other experiences in vicinity.|Holmes County|2006-03-16|-85.97701|30.993
1975|1975|Report 14271|Possible tracks noticed by hunters in the Everglades outside Everglades City|Collier County|1975-09-01|-81.3615|26.0645
May 2006|May 2006|Report 14719|Surveyor describes possible stick formations in woods near Jacksonville|Duval County|2006-09-05|-81.49433|30.2637
About 1995|About 1995|Report 15310|Possible daylight sighting by fisherman near Bartow|Polk County|1995-05-01|-81.8995|27.8565
October 1997|October 1997|Report 15318|Possible vocalizations noted by fishermen at night off of SR 41|Collier County|1997-10-01|-81.1498|25.86895
September 2006|September 2006|Report 15694|Possible daytime sighting by motorist on FL Turnpike outside Orlando (near Ocoee exit)|Orange County|2006-09-02|-81.5545|28.5465
October 2006|October 2006|Report 16347|Possible mid-day sighting by motorist on I-75  (Alligator Alley) in the Everglades|Collier County|2006-10-09|-80.98849|26.1699
December 2006|December 2006|Report 16823|Family describes repeated incidents on their property near Lake Wales.|Polk County|2006-12-01|-81.58581|27.9013
August 1985|August 1985|Report 17011|Man describes teenage incident -- possible intimidation approach at 2 AM  in Coral Springs, at the edge of the Everglades.|Broward County|2007-04-19|-80.27977|26.28516
November 2006|November 2006|Report 17043|Possible daylight sighting by motorist on I-75 between Sarasota &amp; Bradenton|Manatee County|2006-11-26|-82.391|27.445
March 2007|March 2007|Report 18349|Possible Knocks and a Vocalization Heard by Two Witnesses Near Middleburg|Clay County|2007-03-23|-81.89438|30.10534
May 1996|May 1996|Report 18395|Possible sighting by motorist near the Four Corners phosphate mine|Hillsborough County|1996-05-01|-82.124|27.928
April 2005|April 2005|Report 18737|Campers report possible vocalization and footprint in Big Cypress National Preserve|Collier County|2005-04-09|-81.356|25.953
May 2007|May 2007|Report 19232|Motorist spots a tall unknown figure crossing Walter Boardman Loop|Volusia County|2007-05-19|-81.0834|29.3396
1993|1993|Report 19354|Woman recalls childhood incident -- red eyes looking into window near Withlacoochee River.|Marion County|1993-07-01|-81.78879|28.99487
July 1983|July 1983|Report 20333|Possible Nighttime Encounter by Girls on Horseback north of Ft. Myers|Lee County|1983-07-01|-81.8539|26.7621
June 1987|June 1987|Report 20420|Possible nightime encounter near Lake Trafford|Collier County|1987-06-01|-81.2521|26.283
July 1994|July 1994|Report 20981|Two Fishermen describe a possible bluff charge outside Wellborn|Suwannee County|1994-06-15|-82.87125|30.26682
December 1995|December 1995|Report 21254|78 year-old life-long woodsman finds tracks along the Apalachicola River|Liberty County|1995-12-15|-85.11039|30.08341
October 2007|October 2007|Report 21849|Teen Hears Possible Howls and Growls near Middleburg|Clay County|2007-10-15|-81.90182|30.03042
November 2007|November 2007|Report 21979|Rural resident hears knocks, howls &amp; finds a footprint near Wellborn|Suwannee County|2007-11-10|-82.8436|30.31709
September 2005|September 2005|Report 22074|Possible early morning encounter by hunters in the Green Swamp|Hernando County|2005-09-01|-82.11083|28.54028
December 2007|December 2007|Report 22156|More Tracks Found in the Big Cypress Region (w/photos)|Collier County|2007-12-09|-81.303|25.901
March 2007|March 2007|Report 22358|Hiker Discovers Possible Bigfoot Scat in Rock Springs State Park|Lake County|2007-03-15|-81.45354|28.80455
March 2005|March 2005|Report 23399|Possible night-time visit at campsite near Esto|Holmes County|2005-03-13|-85.685|30.79
November 1986|November 1986|Report 23498|Bow hunter describes possible tracks, sounds and scat north of Lake Butler|Union County|1986-11-15|-82.38086|30.07067
June 2008|June 2008|Report 24134|Homeowner hears possible howls east of Winter Springs|Seminole County|2008-06-30|-81.14076|28.63434
1975-76|1975-76|Report 24241|Family has a strange and terrifying encounter while fishing in the Everglades National Park|Monroe County|1975-06-18|-80.87379|25.19935
1993?|1993?|Report 24441|Man recounts his possible daytime sighting while bowhunting near Crestview|Okaloosa County|1993-10-15|-86.68372|30.90529
August 2008|August 2008|Report 24619|Teen hears possible knocks and vocalizations in woods across from his house outside Middleburg|Clay County|2008-09-04|-81.9347|30.0461
October 2008|October 2008|Report 24893|Possible sightings and strange incidents experienced by family at their rural home east of Gainesville|Putnam County|2008-10-10|-82.05391|29.56871
November 08|November 08|Report 25037|Kayaker experiences frightening incidents while traveling down Yellow River|Okaloosa County|2008-11-11|-86.65|30.75
March 2003|March 2003|Report 25577|Kayaker smells a terrible odor and then sees a hair-covered figure on the Econlockhatchee River|Orange County|2003-03-15|-81.11927|28.48106
June 2007|June 2007|Report 25979|Man finds possible footprint outside Palatka|Putnam County|2009-05-17|-81.8592|29.77291
November 1998|November 1998|Report 26271|Hunter tells of possible encounters while in the DuPuis Reserve east of Lake Okeechobee|Martin County|1998-11-22|-80.48412|26.91319
April 2006|April 2006|Report 26276|Man growing up near Taylor recalls several incidents|Baker County|2006-04-12|-82.28943|30.43412
2006|2006|Report 26393|Man experiences loud yells and tree-shaking while deer hunting near Ashville|Jefferson County|2006-11-20|-83.649|30.59612
June 2009|June 2009|Report 26577|Brief daylight sighting of a small primate type creature in a pine forest near Jacksonville|Duval County|2009-06-18|-81.8992|30.25389
November 2009|November 2009|Report 26947|Hunter and daughter hear chatter and find possible tracks near Escambia River|Escambia County|2009-11-21|-87.265|30.9725
December 2009|December 2009|Report 27145|Bow hunter hears possible vocalizations in the Camp Blanding Wildlife Management Area|Clay County|2009-12-14|-82.0125|29.95301
October 2005|October 2005|Report 27587|Couple hears an unusual scream while camping overnight on the Peace River|Charlotte County|2005-10-20|-81.99105|27.07842
December 1974|December 1974|Report 27778|Possible late night campsite intrusion in the Ocala National Forest|Lake County|1974-12-20|-81.80539|29.22079
November 1981|November 1981|Report 28263|Man recalls his terrifying encounter near the Econfino State Park while camping with his family|Taylor County|1981-11-21|-83.89289|30.11597
October 2010|October 2010|Report 28450|Possible footprint found and vocalizations heard in the Flying Eagle Wildlife Management Area|Citrus County|2010-10-31|-82.20726|28.84542
March 1961|March 1961|Report 28678|Man recalls a possible up-close nighttime encounter on Gilchrist Island|Citrus County|1961-03-18|-82.34611|28.90854
2007|2007|Report 29371|Man camping with daughter hears unusual howls near the Oklawaha River|Marion County|2007-11-24|-82.92592|29.28942
November 2011|November 2011|Report 31122|Fishermen have possible late afternoon encounter on Black Creek|Clay County|2011-11-20|-81.7624|30.0809
July 2011|July 2011|Report 31153|Ongoing activity on a family farm near Paisley|Lake County|2011-07-04|-81.43248|28.98491
October 2007|October 2007|Report 31680|Late night fishermen are intimidated at Bulow Creek State Park|Volusia County|2007-10-23|-81.12167|29.4076
January 2012|January 2012|Report 31933|Hunter experiences dusk encounters in Goethe State Forest|Levy County|2012-01-08|-82.61581|29.32605
August 08-09|August 08-09|Report 32227|Man describes possible encounters off Route 41 near Ochopee|Collier County|2009-08-16|-81.69245|26.1875
December 1988-89?|December 1988-89?|Report 32302|Memory told of a possible dusk sighting at a hunting camp near Greenville|Madison County|1989-12-15|-83.48494|30.55044
December 2011|December 2011|Report 32308|Possible nighttime encounter experienced by campers in the West Tract of the Green Swamp Preserve|Pasco County|2011-12-12|-82.11937|28.36168
July 2000|July 2000|Report 33784|Car pulling camper hits something on US 129 South of Live Oak|Suwannee County|2000-07-15|-82.96643|30.13156
December 2011|December 2011|Report 34426|Possible evidence of activity found at Bulow Creek State Park|Flagler County|2011-12-05|-81.13924|29.41889
March 2012|March 2012|Report 35218|Possible incidents at Bear Island Campground in Big Cypress National Preserve|Collier County|2012-03-11|-81.3215|25.889
2011 2012|2011 2012|Report 35330|Fish stolen from a boat, possible knocks and vocalizations near Punta Gorda|Charlotte County|2012-05-07|-81.96517|26.91675
September 2011|September 2011|Report 35474|Bowhunter hears a massive crash and possible screams in the Ocala National Forest|Marion County|2011-09-18|-81.78307|29.47529
May 2012|May 2012|Report 35574|Possible sighting and footprints found by father and son while setting turtle lines outside Deltona|Volusia County|2012-05-28|-81.32394|28.91605
August 2011|August 2011|Report 35769|Possible sighting at dawn near road kill on US-192 east of Holopaw|Osceola County|2011-08-26|-81.00677|28.13136
July 2012|July 2012|Report 35940|Possible early moming sighting from second story apartment in Atlantic Beach|Duval County|2012-07-06|-81.41444|30.36186
July 2012|July 2012|Report 36112|Possible nighttime sighting brings about ongoing investigation of several Cassadaga incidents and legend of the Mole Man|Volusia County|2012-07-27|-81.23386|28.97672
September 2012|September 2012|Report 36634|Motorist passes a crouching figure outside Chiefland|Levy County|2012-09-29|-82.71979|29.4694
October 2012|October 2012|Report 36682|Woman finds possible footprints during morning bike ride in San Felasco Preserve northwest of Gainesville|Alachua County|2012-10-09|-82.44075|29.74815
October 2012|October 2012|Report 36710|Small school group observe man-like figure on two separate nights east of Orlando|Orange County|2012-10-19|-81.03185|28.56308
October 2012|October 2012|Report 36826|Car passenger spots a large brown figure at the St. John's River near Christmas|Orange County|2012-10-27|-80.94411|28.54293
October 2011|October 2011|Report 36915|Possible daytime encounter by a father and son hunting in the Richloam Wildlife Management Area|Sumter County|2012-11-11|-82.04508|28.45786
December 2012|December 2012|Report 38104|Possible early morning encounter by a hog hunter in his truck near Jupiter|Martin County|2012-12-05|-80.31353|26.9807
November 2010|November 2010|Report 38893|Driver spots a tall biped crossing the road just west of Miami|Dade County|2010-11-10|-80.48021|25.73951
January 2013|January 2013|Report 38923|Possible nighttime activity in the retirement community The Villages|Sumter County|2013-12-13|-81.97549|28.94296
December 2012|December 2012|Report 39014|Passenger on I-75 spots a large animal near Myakka State Park|Sarasota County|2012-12-25|-82.30699|27.10589
January 2013|January 2013|Report 39338|Possible daylight sighting while riding a dirt bike outside Poinciana|Osceola County|2013-01-22|-81.35342|28.11468
April 2010|April 2010|Report 39382|Frightening encounter experienced on family property outside Naples|Collier County|2010-04-15|-81.64948|26.03808
February 2013|February 2013|Report 40019|Possible daylight encounter after after initiating calls in Twelve Mile Swamp|St. Johns County|2013-02-23|-81.4048|29.96828
March 2013|March 2013|Report 40564|Brothers see large upright creature while driving one evening south of Crestview|Okaloosa County|2013-03-22|-86.54302|30.62555
May 2009|May 2009|Report 40584|Possible rural encounters experienced by a young man growing up outside Okeechobee|Okeechobee County|2009-05-01|-81.03941|27.34928
February 2013|February 2013|Report 40901|More possible activity from the Mole Man at Lake Helen|Volusia County|2013-02-24|-81.21989|28.96416
May 2013|May 2013|Report 41265|Possible sighitng at dusk by father and daughter riding an ATV near Bartow|Polk County|2013-05-16|-81.87347|27.93531
May 2013|May 2013|Report 41275|Possible nighttime road crossing on HWY 528 outside Orlando|Orange County|2013-05-23|-81.01299|28.45247
May 1997|May 1997|Report 928|Hikers find tracks and a possible nest|Chelan County|1977-05-22|-120.6705|47.4644
May 2013|May 2013|Report 41309|Possible daylight sighting by a bicyclist on the General James A. Van Fleet State Trail|Polk County|2013-04-29|-81.95499|28.525
November 2012|November 2012|Report 42134|Seasoned hunter hears unknown screams from his stand near Holopaw|Osceola County|2012-11-18|-81.02086|28.12565
December 2010|December 2010|Report 42293|Possible nighttime sighting while standing with friends outside a rural home near Wesley Chapel|Pasco County|2010-12-24|-82.35606|28.29324
October 2003|October 2003|Report 42885|Possible daytime highway crossing on US-90 outside Caryville|Washington County|2003-10-15|-85.4937|30.46805
2012|2012|Report 43381|Driver sees a large animal possibly stalking wild boar outside Bushnell|Sumter County|2012-10-15|-81.7089|28.69205
1974|1974|Report 45551|Recollection of setting up camp and observing a tall bi-pedal animal running near Palm Beach Gardens|Palm Beach County|1974-07-19|-80.18501|26.83656
December 2014|December 2014|Report 45566|Hunters in the Big Cypress National Preserve observe large biped traversing their recent path|Monroe County|2013-12-15|-80.79379|27.45883
April 2013|April 2013|Report 45883|Two deputy sheriffs report hearing possible vocalizations while hog hunting near Poinciana|Polk County|2013-04-13|-81.51359|28.05144
August 2014|August 2014|Report 46604|Driver notices Something out of Place along Hwy. 42 near Paisley|Lake County|2014-08-15|-81.55172|29.97454
January 1991|January 1991|Report 48599|Family retells documenting a possible mile-long line of tracks north of Yankeetown|Levy County|1991-01-11|-82.74918|29.07718
May 1999|May 1999|Report 1865|Loud howling vocalizations heard by residents near Lake Alatoona|Cobb County|1999-05-08|-84.68864|34.0474
May 1999|May 1999|Report 2093|Resident near Red Top Mountain State Park hears loud characteristic scream while working outside.|Bartow County|1999-05-20|-84.7038|34.1226
June 1999|June 1999|Report 2094|Second report of scream by resident near Red Top Mountain State Park|Bartow County|1999-06-16|-84.6971|34.1088
March 1974|March 1974|Report 2100|Witness recounts he and his friend's encounters with a strange creature along with strange sounds and footprint finds|Gwinnett County|1974-04-30|-84.20175|33.97005
1986|1986|Report 2278|Hunting party shadowed by footsteps after loud vocalization heard from treeline|Sumter County|1986-06-15|-84.43484|32.0321
August 1998|August 1998|Report 2589|Couple hear loud, reverberating screams, witness a large, bulky man-like figure in the moonlight near Pidgeon Mountain|Walker County|1998-08-04|-85.4034|34.66005
1987|1987|Report 3094|Teenager hears vocalization and has encounter with smelly creature outside window|Cherokee County|1987-09-01|-84.57616|34.36725
December 1995|December 1995|Report 4109|Night time harassment of Army patrol on the west edge of Ft. Stewart, 5 miles NE of Glennville|Tattnall County|1995-06-15|-81.88995|31.9621
June 1965|June 1965|Report 4236|Man recalls a possible encounter as a teen at Fort Gordon|Richmond County|1965-06-15|-82.13665|33.4119
October 2003|October 2003|Report 7004|Possible vocalizations, etc., heard near Canton|Cherokee County|2003-10-02|-84.50055|34.1962
October 2003|October 2003|Report 7088|Deer hunter hears strange screams and possible stalking near Pigeon Mountain|Walker County|2003-10-07|-85.3297|34.77525
July 2005|July 2005|Report 23701|Vocalization heard at close range on Appalachian Trail (Gooch Mountain Shelter)|Union County|2005-07-03|-84.0354|34.6527
January 1976|January 1976|Report 7356|Two servicemen from Hunter Army Airfield describe tent stalking incident on uninhabited Little Tybee Island|Chatham County|1976-01-02|-80.89485|31.98125
November 1974|November 1974|Report 7464|Deer hunter describes possible stalking on Pigeon Mountain.|Walker County|1974-11-01|-85.39171|34.66029
November 1982|November 1982|Report 7575|Military man and wife experience loud howling and shaking of mobile home near the Ohoopee River|Emanuel County|1982-11-23|-82.2464|32.34705
June 1997|June 1997|Report 8880|Possible vocalization and camp stalking in Raven Cliffs Wilderness Area|White County|2005-06-15|-83.8329|34.7064
July 2004|July 2004|Report 9001|Possible howls heard near Thomaston|Upson County|2004-07-15|-84.25755|32.80865
January 1983|January 1983|Report 11030|Cavers hears possilble vocalization on Pigeon Mountain|Walker County|2007-01-16|-85.34145|34.69895
November 2005|November 2005|Report 13178|Vacationer hears possible vocalizations late at night southeast of Helen|White County|2005-11-25|-83.76585|34.66255
June 2006|June 2006|Report 14887|Possible sighting, vocalizations, stalking, etc., near Sweetwater Creek|Paulding County|2006-07-05|-84.80283|33.81283
July 2006|July 2006|Report 15329|Man describes his father's sighting near Lakeland|Lanier County|2006-07-26|-83.07575|31.0614
December 2006|December 2006|Report 17249|Possible vocalizations and an approach to a residence outside Gainesville|Hall County|2006-12-31|-83.77232|34.37537
1984/1985|1984/1985|Report 17308|Possible stalking of hunters on the AL state line near Cedartown GA|Polk County|1984-10-01|-85.3582|33.9844
August 2003|August 2003|Report 17477|Witness and family hear Mississippi type howl from wooded area near home|Atkinson County|2003-08-12|-82.77173|31.2137
2006-2007|2006-2007|Report 17957|Mother and son experience multiple incidents in the Sautee-Nacoochee Valley|Habersham County|2007-02-15|-83.62215|34.71425
August 1999|August 1999|Report 18001|Possible vocalizations near Plunketts Road outside Buford|Gwinnett County|1999-08-13|-83.59509|34.4447
March 2007|March 2007|Report 18361|A group of four-wheelers experience a barrage of rocks and limbs on a late-night ride near Meldrim|Effingham County|2007-03-24|-81.34159|32.13781
December 2006|December 2006|Report 18377|Possible sighting by multiple witnesses on farm near Buchannan|Haralson County|2006-12-18|-85.15337|33.81461
September 1987|September 1987|Report 18439|Possible scream at Ft. Stewart|Long County|1987-09-19|-81.47213|31.55762
April 2005|April 2005|Report 19129|Camper reports possible knocks in daylight near Conasauga River|Murray County|2005-04-21|-84.6216|34.8983
October 1978/79|October 1978/79|Report 21145|Man remembers unknown screaming animal passing underneath his deer stand before dawn on Clark Hill Lake|Lincoln County|1979-10-15|-82.4975|33.89761
August 2005|August 2005|Report 22813|Cyclist hears loud wood knocks in Chattahoochee National Forrest|Floyd County|2005-08-15|-85.10299|34.4826
October 1990- 2006|October 1990- 2006|Report 23978|Possible encounters near the Upper Chattahoochee River Recreation Area|White County|1990-10-20|-83.78375|34.78035
1977|1977|Report 24393|Man remembers a late night camp-circling along with several other young Marines outside of Albany|Dougherty County|1977-07-30|-84.02254|31.30062
February 2009|February 2009|Report 25574|Witness spots sasquatch approaching camp near Warwoman Dell|Rabun County|2009-02-22|-83.18237|34.94325
March 2009|March 2009|Report 25693|Husband and wife hear characteristic vocalizations in the Sautee-Nacoochee Valley|White County|2009-03-15|-83.6746|34.70107
June 2006|June 2006|Report 26019|Public service officer hears unidentifiable screams and grunts near Hiram|Paulding County|2006-06-21|-84.79601|33.796
November 2007|November 2007|Report 26396|Possible daylight sighting of a juvenile sasquatch on all fours by a deer hunter near Axson|Atkinson County|2007-11-15|-82.74675|31.30952
March 2011|March 2011|Report 28982|Wildlife enthusiast records moaning howls near Bainbridge|Decatur County|2011-03-11|-84.78122|30.79456
June 2011|June 2011|Report 29530|Possible wood knock responses and strange tracks found near Rome|Floyd County|2011-06-20|-85.19659|34.17769
August 2011|August 2011|Report 30483|Possible road crossing observed at dusk by a truck driver on I-75 south of Cordele|Crisp County|2011-08-25|-83.57655|31.85605
September 2011|September 2011|Report 30730|Hunter hears possible vocalizations as well as bipedal movement near Pigeon Mountain WMA|Walker County|2011-09-28|-85.42266|34.62689
August 2011|August 2011|Report 32254|Marine veteran hears strange howls late at night near Acworth|Paulding County|2011-08-27|-84.79704|34.06787
May 2012|May 2012|Report 35352|Golfers watch large animal jump from a tree outside Tallulah Falls|Habersham County|2012-05-09|-83.45181|34.70157
May 2012|May 2012|Report 35631|Woman sees a tall figure at night outside her home in a subdivision south of Leesburg|Lee County|2012-05-30|-84.16016|31.62608
May 2013|May 2013|Report 41169|Motorist sees a tall man-like figure standing in a field at dawn near Cedartown|Polk County|2013-05-10|-85.35133|33.95003
September 2006|September 2006|Report 43553|Teenage girl startles a gorilla-like animal while walking home in the dark north of Swainsboro|Emanuel County|2006-09-25|-82.24796|32.74985
January 2014|January 2014|Report 43611|Couple spot possible footprints on Benton MacKaye Trail near Blue Ridge|Gilmer County|2014-01-05|-84.3453|34.81182
November 2011|November 2011|Report 44571|Deer hunter sees and hears a large hairy biped from his tree stand near Shellman|Randolph County|2011-11-24|-84.60457|31.71434
November 2013|November 2013|Report 47523|Hunter north of Macon hears two large animals as he dresses his deer|Jones County|2013-11-05|-83.69681|33.09184
January 2015|January 2015|Report 47841|Teen looking out his back window spots a figure behind a tree south of Rockmart|Paulding County|2015-01-30|-85.01929|33.91604
December 1999|December 1999|Report 2509|Campers get visited in the middle of the night and hear vocalizations.|Pottawattamie County|1999-12-12|-96.01464|41.48453
February 1985|February 1985|Report 3049|Atv riders hear daytime vocalization and find tracks near Keokuk|Lee County|1985-02-15|-91.4261|40.4415
September 1977|September 1977|Report 5072|Witness reports seeing footprints as a child|Humboldt County|1977-09-01|-94.3841|42.9074
January 1976|January 1976|Report 6394|Possible tracks found in snow near Albia, Iowa|Monroe County|1976-01-14|-92.73979|41.02174
